filename,resolution,bitdepth,format,number
videoSRC01_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC02_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC03_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC04_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC05_1920x1080_25.yuv,1920x1080,8,yuv420p,125
videoSRC06_1920x1080_25.yuv,1920x1080,8,yuv420p,125
videoSRC07_1920x1080_25.yuv,1920x1080,8,yuv420p,125
videoSRC08_1920x1080_25.yuv,1920x1080,8,yuv420p,125
videoSRC09_1920x1080_25.yuv,1920x1080,8,yuv420p,125
videoSRC10_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC11_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC12_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC13_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC14_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC15_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC16_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC17_1920x1080_24.yuv,1920x1080,8,yuv420p,120
videoSRC18_1920x1080_25.yuv,1920x1080,8,yuv420p,125
videoSRC19_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC20_1920x1080_25.yuv,1920x1080,8,yuv420p,125
videoSRC21_1920x1080_24.yuv,1920x1080,8,yuv420p,120
videoSRC22_1920x1080_24.yuv,1920x1080,8,yuv420p,120
videoSRC23_1920x1080_24.yuv,1920x1080,8,yuv420p,120
videoSRC24_1920x1080_24.yuv,1920x1080,8,yuv420p,120
videoSRC25_1920x1080_24.yuv,1920x1080,8,yuv420p,120
videoSRC26_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC27_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC28_1920x1080_30.yuv,1920x1080,8,yuv420p,150
videoSRC29_1920x1080_24.yuv,1920x1080,8,yuv420p,120
videoSRC30_1920x1080_30.yuv,1920x1080,8,yuv420p,150
