input_image,reference_image,yuv_width,yuv_height,yuv_format,yuv_bitdepth
SRC0001.yuv,SRC0001.yuv,640,480,yuv420p,8
SRC0002.yuv,SRC0002.yuv,640,480,yuv420p,8
SRC0003.yuv,SRC0003.yuv,640,480,yuv420p,8
SRC0004.yuv,SRC0004.yuv,640,480,yuv420p,8
SRC0005.yuv,SRC0005.yuv,640,480,yuv420p,8
SRC0006.yuv,SRC0006.yuv,640,480,yuv420p,8
SRC0007.yuv,SRC0007.yuv,640,480,yuv420p,8
SRC0008.yuv,SRC0008.yuv,640,480,yuv420p,8
SRC0009.yuv,SRC0009.yuv,640,480,yuv420p,8
SRC0010.yuv,SRC0010.yuv,640,480,yuv420p,8
SRC0011.yuv,SRC0011.yuv,640,480,yuv420p,8
SRC0012.yuv,SRC0012.yuv,640,480,yuv420p,8
SRC0013.yuv,SRC0013.yuv,640,480,yuv420p,8
SRC0014.yuv,SRC0014.yuv,640,480,yuv420p,8
SRC0015.yuv,SRC0015.yuv,640,480,yuv420p,8
SRC0016.yuv,SRC0016.yuv,640,480,yuv420p,8
SRC0017.yuv,SRC0017.yuv,640,480,yuv420p,8
SRC0018.yuv,SRC0018.yuv,640,480,yuv420p,8
SRC0019.yuv,SRC0019.yuv,640,480,yuv420p,8
SRC0020.yuv,SRC0020.yuv,640,480,yuv420p,8
SRC0021.yuv,SRC0021.yuv,640,480,yuv420p,8
SRC0022.yuv,SRC0022.yuv,640,480,yuv420p,8
SRC0023.yuv,SRC0023.yuv,640,480,yuv420p,8
SRC0024.yuv,SRC0024.yuv,640,480,yuv420p,8
SRC0025.yuv,SRC0025.yuv,640,480,yuv420p,8
SRC0026.yuv,SRC0026.yuv,640,480,yuv420p,8
SRC0027.yuv,SRC0027.yuv,640,480,yuv420p,8
SRC0028.yuv,SRC0028.yuv,640,480,yuv420p,8
SRC0029.yuv,SRC0029.yuv,640,480,yuv420p,8
SRC0030.yuv,SRC0030.yuv,640,480,yuv420p,8
SRC0031.yuv,SRC0031.yuv,640,480,yuv420p,8
SRC0032.yuv,SRC0032.yuv,640,480,yuv420p,8
SRC0033.yuv,SRC0033.yuv,640,480,yuv420p,8
SRC0034.yuv,SRC0034.yuv,640,480,yuv420p,8
SRC0035.yuv,SRC0035.yuv,640,480,yuv420p,8
SRC0036.yuv,SRC0036.yuv,640,480,yuv420p,8
SRC0037.yuv,SRC0037.yuv,640,480,yuv420p,8
SRC0038.yuv,SRC0038.yuv,640,480,yuv420p,8
SRC0039.yuv,SRC0039.yuv,640,480,yuv420p,8
SRC0040.yuv,SRC0040.yuv,640,480,yuv420p,8
SRC0041.yuv,SRC0041.yuv,640,480,yuv420p,8
SRC0042.yuv,SRC0042.yuv,640,480,yuv420p,8
SRC0043.yuv,SRC0043.yuv,640,480,yuv420p,8
SRC0044.yuv,SRC0044.yuv,640,480,yuv420p,8
SRC0045.yuv,SRC0045.yuv,640,480,yuv420p,8
SRC0046.yuv,SRC0046.yuv,640,480,yuv420p,8
SRC0047.yuv,SRC0047.yuv,640,480,yuv420p,8
SRC0048.yuv,SRC0048.yuv,640,480,yuv420p,8
SRC0049.yuv,SRC0049.yuv,640,480,yuv420p,8
SRC0050.yuv,SRC0050.yuv,640,480,yuv420p,8
SRC0051.yuv,SRC0051.yuv,640,480,yuv420p,8
SRC0052.yuv,SRC0052.yuv,640,480,yuv420p,8
SRC0053.yuv,SRC0053.yuv,640,480,yuv420p,8
SRC0054.yuv,SRC0054.yuv,640,480,yuv420p,8
SRC0055.yuv,SRC0055.yuv,640,480,yuv420p,8
SRC0056.yuv,SRC0056.yuv,640,480,yuv420p,8
SRC0057.yuv,SRC0057.yuv,640,480,yuv420p,8
SRC0058.yuv,SRC0058.yuv,640,480,yuv420p,8
SRC0059.yuv,SRC0059.yuv,640,480,yuv420p,8
SRC0060.yuv,SRC0060.yuv,640,480,yuv420p,8
SRC0061.yuv,SRC0061.yuv,640,480,yuv420p,8
SRC0062.yuv,SRC0062.yuv,640,480,yuv420p,8
SRC0063.yuv,SRC0063.yuv,640,480,yuv420p,8
SRC0064.yuv,SRC0064.yuv,640,480,yuv420p,8
SRC0065.yuv,SRC0065.yuv,640,480,yuv420p,8
SRC0066.yuv,SRC0066.yuv,640,480,yuv420p,8
SRC0067.yuv,SRC0067.yuv,640,480,yuv420p,8
SRC0068.yuv,SRC0068.yuv,640,480,yuv420p,8
SRC0069.yuv,SRC0069.yuv,640,480,yuv420p,8
SRC0070.yuv,SRC0070.yuv,640,480,yuv420p,8
SRC0071.yuv,SRC0071.yuv,640,480,yuv420p,8
SRC0072.yuv,SRC0072.yuv,640,480,yuv420p,8
SRC0073.yuv,SRC0073.yuv,640,480,yuv420p,8
SRC0074.yuv,SRC0074.yuv,640,480,yuv420p,8
SRC0075.yuv,SRC0075.yuv,640,480,yuv420p,8
SRC0076.yuv,SRC0076.yuv,640,480,yuv420p,8
SRC0077.yuv,SRC0077.yuv,640,480,yuv420p,8
SRC0078.yuv,SRC0078.yuv,640,480,yuv420p,8
SRC0079.yuv,SRC0079.yuv,640,480,yuv420p,8
SRC0080.yuv,SRC0080.yuv,640,480,yuv420p,8
SRC0081.yuv,SRC0081.yuv,640,480,yuv420p,8
SRC0082.yuv,SRC0082.yuv,640,480,yuv420p,8
SRC0083.yuv,SRC0083.yuv,640,480,yuv420p,8
SRC0084.yuv,SRC0084.yuv,640,480,yuv420p,8
SRC0085.yuv,SRC0085.yuv,640,480,yuv420p,8
SRC0086.yuv,SRC0086.yuv,640,480,yuv420p,8
SRC0087.yuv,SRC0087.yuv,640,480,yuv420p,8
SRC0088.yuv,SRC0088.yuv,640,480,yuv420p,8
SRC0089.yuv,SRC0089.yuv,640,480,yuv420p,8
SRC0090.yuv,SRC0090.yuv,640,480,yuv420p,8
SRC0091.yuv,SRC0091.yuv,640,480,yuv420p,8
SRC0092.yuv,SRC0092.yuv,640,480,yuv420p,8
SRC0093.yuv,SRC0093.yuv,640,480,yuv420p,8
SRC0094.yuv,SRC0094.yuv,640,480,yuv420p,8
SRC0095.yuv,SRC0095.yuv,640,480,yuv420p,8
SRC0096.yuv,SRC0096.yuv,640,480,yuv420p,8
SRC0097.yuv,SRC0097.yuv,640,480,yuv420p,8
SRC0098.yuv,SRC0098.yuv,640,480,yuv420p,8
SRC0099.yuv,SRC0099.yuv,640,480,yuv420p,8
SRC0100.yuv,SRC0100.yuv,640,480,yuv420p,8
SRC0101.yuv,SRC0101.yuv,640,480,yuv420p,8
SRC0102.yuv,SRC0102.yuv,640,480,yuv420p,8
SRC0103.yuv,SRC0103.yuv,640,480,yuv420p,8
SRC0104.yuv,SRC0104.yuv,640,480,yuv420p,8
SRC0105.yuv,SRC0105.yuv,640,480,yuv420p,8
SRC0106.yuv,SRC0106.yuv,640,480,yuv420p,8
SRC0107.yuv,SRC0107.yuv,640,480,yuv420p,8
SRC0108.yuv,SRC0108.yuv,640,480,yuv420p,8
SRC0109.yuv,SRC0109.yuv,640,480,yuv420p,8
SRC0110.yuv,SRC0110.yuv,640,480,yuv420p,8
SRC0111.yuv,SRC0111.yuv,640,480,yuv420p,8
SRC0112.yuv,SRC0112.yuv,640,480,yuv420p,8
SRC0113.yuv,SRC0113.yuv,640,480,yuv420p,8
SRC0114.yuv,SRC0114.yuv,640,480,yuv420p,8
SRC0115.yuv,SRC0115.yuv,640,480,yuv420p,8
SRC0116.yuv,SRC0116.yuv,640,480,yuv420p,8
SRC0117.yuv,SRC0117.yuv,640,480,yuv420p,8
SRC0118.yuv,SRC0118.yuv,640,480,yuv420p,8
SRC0119.yuv,SRC0119.yuv,640,480,yuv420p,8
SRC0120.yuv,SRC0120.yuv,640,480,yuv420p,8
SRC0121.yuv,SRC0121.yuv,640,480,yuv420p,8
SRC0122.yuv,SRC0122.yuv,640,480,yuv420p,8
SRC0123.yuv,SRC0123.yuv,640,480,yuv420p,8
SRC0124.yuv,SRC0124.yuv,640,480,yuv420p,8
SRC0125.yuv,SRC0125.yuv,640,480,yuv420p,8
SRC0126.yuv,SRC0126.yuv,640,480,yuv420p,8
SRC0127.yuv,SRC0127.yuv,640,480,yuv420p,8
SRC0128.yuv,SRC0128.yuv,640,480,yuv420p,8
SRC0129.yuv,SRC0129.yuv,640,480,yuv420p,8
SRC0130.yuv,SRC0130.yuv,640,480,yuv420p,8
SRC0131.yuv,SRC0131.yuv,640,480,yuv420p,8
SRC0132.yuv,SRC0132.yuv,640,480,yuv420p,8
SRC0133.yuv,SRC0133.yuv,640,480,yuv420p,8
SRC0134.yuv,SRC0134.yuv,640,480,yuv420p,8
SRC0135.yuv,SRC0135.yuv,640,480,yuv420p,8
SRC0136.yuv,SRC0136.yuv,640,480,yuv420p,8
SRC0137.yuv,SRC0137.yuv,640,480,yuv420p,8
SRC0138.yuv,SRC0138.yuv,640,480,yuv420p,8
SRC0139.yuv,SRC0139.yuv,640,480,yuv420p,8
SRC0140.yuv,SRC0140.yuv,640,480,yuv420p,8
SRC0141.yuv,SRC0141.yuv,640,480,yuv420p,8
SRC0142.yuv,SRC0142.yuv,640,480,yuv420p,8
SRC0143.yuv,SRC0143.yuv,640,480,yuv420p,8
SRC0144.yuv,SRC0144.yuv,640,480,yuv420p,8
SRC0145.yuv,SRC0145.yuv,640,480,yuv420p,8
SRC0146.yuv,SRC0146.yuv,640,480,yuv420p,8
SRC0147.yuv,SRC0147.yuv,640,480,yuv420p,8
SRC0148.yuv,SRC0148.yuv,640,480,yuv420p,8
SRC0149.yuv,SRC0149.yuv,640,480,yuv420p,8
SRC0150.yuv,SRC0150.yuv,640,480,yuv420p,8
SRC0151.yuv,SRC0151.yuv,640,480,yuv420p,8
SRC0152.yuv,SRC0152.yuv,640,480,yuv420p,8
SRC0153.yuv,SRC0153.yuv,640,480,yuv420p,8
SRC0154.yuv,SRC0154.yuv,640,480,yuv420p,8
SRC0155.yuv,SRC0155.yuv,640,480,yuv420p,8
SRC0156.yuv,SRC0156.yuv,640,480,yuv420p,8
SRC0157.yuv,SRC0157.yuv,640,480,yuv420p,8
SRC0158.yuv,SRC0158.yuv,640,480,yuv420p,8
SRC0159.yuv,SRC0159.yuv,640,480,yuv420p,8
SRC0160.yuv,SRC0160.yuv,640,480,yuv420p,8
